playID,homeAbbr,awayAbbr,homeScore,awayScore
332430251_23_0,TEX,NMSU,35,7
332430251_23_1,TEX,NMSU,35,7
332430251_23_2,TEX,NMSU,35,7
332430251_24_0,TEX,NMSU,35,7
332430251_24_1,TEX,NMSU,35,7
332430251_24_2,TEX,NMSU,35,7
332430251_24_3,TEX,NMSU,35,7
332430251_24_4,TEX,NMSU,35,7
332430251_25_0,TEX,NMSU,35,7
332430251_25_1,TEX,NMSU,35,7
332430251_25_2,TEX,NMSU,35,7
332430251_25_3,TEX,NMSU,41,7
332430251_26_0,TEX,NMSU,42,7
332430251_26_1,TEX,NMSU,42,7
332430251_26_2,TEX,NMSU,42,7
332430251_26_3,TEX,NMSU,42,7
332430251_26_4,TEX,NMSU,42,7
332430251_26_5,TEX,NMSU,42,7
332430251_26_6,TEX,NMSU,42,7
332430251_27_0,TEX,NMSU,42,7
332430251_27_1,TEX,NMSU,42,7
332430251_27_2,TEX,NMSU,42,7
332430251_27_3,TEX,NMSU,42,7
332430251_27_4,TEX,NMSU,42,7
332430251_27_5,TEX,NMSU,42,7
332430251_27_6,TEX,NMSU,42,7
332430251_27_7,TEX,NMSU,42,7
332430251_27_10,TEX,NMSU,42,7
332430251_27_11,TEX,NMSU,42,7
332430251_27_12,TEX,NMSU,42,7
332430251_27_13,TEX,NMSU,48,7
332430251_28_0,TEX,NMSU,49,7
332430251_28_1,TEX,NMSU,49,7
332430251_28_2,TEX,NMSU,49,7
332430251_28_3,TEX,NMSU,49,7
332430251_28_4,TEX,NMSU,49,7
332430251_28_5,TEX,NMSU,49,7
332430251_28_6,TEX,NMSU,49,7
332430251_28_7,TEX,NMSU,49,7
332430251_29_0,TEX,NMSU,49,7
332430251_29_1,TEX,NMSU,49,7
332430251_29_2,TEX,NMSU,49,7
332430251_29_3,TEX,NMSU,49,7
332430251_29_4,TEX,NMSU,55,7
332430251_30_0,TEX,NMSU,56,7
332430251_30_1,TEX,NMSU,56,7
333060251_0_0,TEX,KU,0,0
333060251_0_1,TEX,KU,0,0
333060251_0_2,TEX,KU,0,0
333060251_0_3,TEX,KU,0,0
333060251_1_0,TEX,KU,0,0
333060251_1_1,TEX,KU,0,0
333060251_1_2,TEX,KU,0,0
333060251_1_3,TEX,KU,0,0
333060251_1_5,TEX,KU,0,0
333060251_1_6,TEX,KU,0,0
333060251_1_7,TEX,KU,0,0
333060251_2_0,TEX,KU,0,0
333060251_2_1,TEX,KU,0,0
333060251_2_2,TEX,KU,0,0
333060251_2_3,TEX,KU,0,0
333060251_2_4,TEX,KU,0,0
333060251_3_0,TEX,KU,0,0
333060251_3_1,TEX,KU,0,0
333060251_3_2,TEX,KU,0,0
333060251_3_3,TEX,KU,0,0
333060251_3_4,TEX,KU,0,0
333060251_4_0,TEX,KU,0,0
333060251_4_2,TEX,KU,0,0
