playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763452_8_8,400763452,2015,10,KU,TEX,1,00:04:09,Pass Incompletion,1,5,14,0
400763452_8_9,400763452,2015,10,KU,TEX,1,00:00:21,Passing Touchdown,2,5,14,0
400763452_11_1,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,1,10,59,5
400763452_11_2,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,2,5,54,0
400763452_11_3,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,3,5,54,12
400763452_11_4,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,1,10,42,0
400763452_11_5,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,2,10,42,0
400763452_11_6,400763452,2015,10,KU,TEX,2,00:11:58,Pass Reception,3,10,42,18
400763452_11_7,400763452,2015,10,KU,TEX,2,00:11:58,Pass Incompletion,1,10,24,0
400763452_11_8,400763452,2015,10,KU,TEX,2,00:11:58,Rush,2,10,24,6
400763452_11_9,400763452,2015,10,KU,TEX,2,00:11:58,Rush,3,4,18,7
400763452_11_10,400763452,2015,10,KU,TEX,2,00:11:58,Rush,1,10,11,6
400763452_11_11,400763452,2015,10,KU,TEX,2,00:11:58,Rush,2,4,5,4
400763452_11_12,400763452,2015,10,KU,TEX,2,00:08:49,Rushing Touchdown,1,0,1,1
400763452_13_0,400763452,2015,10,KU,TEX,2,00:07:24,Rush,1,7,7,5
400763452_13_1,400763452,2015,10,KU,TEX,2,00:07:24,Rush,2,2,2,0
400763452_13_2,400763452,2015,10,KU,TEX,2,00:07:24,Rush,3,2,2,1
400763452_15_0,400763452,2015,10,KU,TEX,2,00:03:57,Rush,1,10,42,2
400763452_15_1,400763452,2015,10,KU,TEX,2,00:03:57,Rush,2,8,40,4
400763452_15_4,400763452,2015,10,KU,TEX,2,00:02:30,Pass Reception,3,9,41,12
400763452_15_5,400763452,2015,10,KU,TEX,2,00:02:30,Pass Reception,1,10,29,13
400763452_15_6,400763452,2015,10,KU,TEX,2,00:02:30,Pass Reception,1,10,16,3
400763452_15_7,400763452,2015,10,KU,TEX,2,00:02:30,Pass Reception,2,7,13,3
400763452_15_8,400763452,2015,10,KU,TEX,2,00:02:30,Rush,3,4,10,5
400763452_15_9,400763452,2015,10,KU,TEX,2,00:02:30,Pass Incompletion,1,5,5,0
400763452_17_0,400763452,2015,10,KU,TEX,3,00:11:39,Rush,1,10,80,5
400763452_17_1,400763452,2015,10,KU,TEX,3,00:11:39,Rush,2,5,75,11
400763452_17_2,400763452,2015,10,KU,TEX,3,00:11:39,Rush,1,10,64,-2
400763452_17_3,400763452,2015,10,KU,TEX,3,00:11:39,Pass Reception,2,12,66,8
400763452_17_4,400763452,2015,10,KU,TEX,3,00:11:39,Pass Incompletion,3,4,58,0
400763452_19_1,400763452,2015,10,KU,TEX,3,00:10:01,Rush,1,10,75,4
400763452_19_2,400763452,2015,10,KU,TEX,3,00:10:01,Rush,2,6,71,2
400763452_19_3,400763452,2015,10,KU,TEX,3,00:10:01,Pass Incompletion,3,4,69,0
400763452_21_1,400763452,2015,10,KU,TEX,3,00:05:34,Rush,1,10,75,15
400763452_21_2,400763452,2015,10,KU,TEX,3,00:05:34,Pass Reception,1,10,60,5
400763452_21_5,400763452,2015,10,KU,TEX,3,00:05:34,Rush,1,10,34,3
400763452_21_6,400763452,2015,10,KU,TEX,3,00:05:34,Rush,2,7,31,4
400763452_21_8,400763452,2015,10,KU,TEX,3,00:05:34,Pass Incompletion,4,8,32,0
400763452_23_1,400763452,2015,10,KU,TEX,4,00:14:54,Pass Incompletion,1,10,75,0
400763452_23_2,400763452,2015,10,KU,TEX,4,00:14:54,Pass Reception,2,10,75,15
400763452_23_3,400763452,2015,10,KU,TEX,4,00:14:54,Rush,1,10,60,3
400763452_23_4,400763452,2015,10,KU,TEX,4,00:14:54,Pass Incompletion,2,7,57,0
400763452_23_5,400763452,2015,10,KU,TEX,4,00:14:54,Pass Interception Return,3,7,57,5
400763452_25_1,400763452,2015,10,KU,TEX,4,00:13:25,Rush,1,10,75,2
400763452_25_2,400763452,2015,10,KU,TEX,4,00:13:25,Pass Reception,2,8,73,1
